"List of Candidates. The file was created on Thursday, September 2, 2021."										
Liste des candidats. Le fichier a été créé le jeudi 2 septembre 2021.										
										
Electoral District Number / No de circonscription	Electoral District Name	Nom de la circonscription	Political Affiliation	Appartenance politique	Candidate's Family Name / Nom de famille du candidat	Candidate's First Name / Prénom du candidat	 Candidate's Initial(s) / Initiale(s) du candidat	 Candidate's Campaign Office Telephone Number / Numéro de téléphone du bureau de campagne du candidat	Date of Receipt of Notification of Confirmation  / Date de réception de l'avis de confirmation	Time of Receipt of Notification of Confirmation / Heure de réception de l'avis de confirmation
35003	Aurora--Oak Ridges--Richmond Hill	Aurora--Oak Ridges--Richmond Hill	Libertarian Party of Canada	Parti Libertarien du Canada	KOROVITSYN	SERGE			30-Aug-21	6:30:00
35003	Aurora--Oak Ridges--Richmond Hill	Aurora--Oak Ridges--Richmond Hill	People's Party of Canada	Parti populaire du Canada	Siskos	Anthony		(416) 846-4669	29-Aug-21	10:00:00
35003	Aurora--Oak Ridges--Richmond Hill	Aurora--Oak Ridges--Richmond Hill	Liberal Party of Canada	Parti libéral du Canada	Taylor Roy	Leah		(289) 210-0308	21-Aug-21	6:00:00
35004	Barrie--Innisfil	Barrie--Innisfil	People's Party of Canada	Parti populaire du Canada	Brancato	Corrado		(647) 568-2646	27-Aug-21	11:34:00
35004	Barrie--Innisfil	Barrie--Innisfil	Conservative Party of Canada	Parti conservateur du Canada	Brassard	John		(705) 719-7980	24-Aug-21	1:21:00
35004	Barrie--Innisfil	Barrie--Innisfil	New Democratic Party	Nouveau Parti démocratique	Gostkowski	Aleesha		(705) 205-9437	26-Aug-21	11:10:00
35004	Barrie--Innisfil	Barrie--Innisfil	Liberal Party of Canada	Parti libéral du Canada	Wilson	Lisa-Marie		(705) 986-2070	26-Aug-21	8:50:00
35005	Barrie--Springwater--Oro-Medonte	Barrie--Springwater--Oro-Medonte	New Democratic Party	Nouveau Parti démocratique	Lochhead	Sarah			28-Aug-21	9:00:00
35005	Barrie--Springwater--Oro-Medonte	Barrie--Springwater--Oro-Medonte	Liberal Party of Canada	Parti libéral du Canada	Saari	Tanya		(705) 792-6622	20-Aug-21	6:30:00
35005	Barrie--Springwater--Oro-Medonte	Barrie--Springwater--Oro-Medonte	Conservative Party of Canada	Parti conservateur du Canada	Shipley	Doug		(705) 481-2054	22-Aug-21	6:00:00
35005	Barrie--Springwater--Oro-Medonte	Barrie--Springwater--Oro-Medonte	People's Party of Canada	Parti populaire du Canada	Webb	Chris			28-Aug-21	2:00:00
35006	Bay of Quinte	Baie de Quinte	New Democratic Party	Nouveau Parti démocratique	Bell	Stephanie		(613) 661-6035	27-Aug-21	9:00:00
35006	Bay of Quinte	Baie de Quinte	Green Party of Canada	Le Parti Vert du Canada	Charlton	Erica			25-Aug-21	6:30:00
35006	Bay of Quinte	Baie de Quinte	Liberal Party of Canada	Parti libéral du Canada	Ellis	Neil		(613) 779-7157	26-Aug-21	6:30:00
35006	Bay of Quinte	Baie de Quinte	People's Party of Canada	Parti populaire du Canada	LeClerc	Janine		(705) 905-3618	24-Aug-21	7:00:00
35006	Bay of Quinte	Baie de Quinte	Conservative Party of Canada	Parti conservateur du Canada	Williams	Ryan		(343) 261-7223	23-Aug-21	5:00:00
35007	Beaches--East York	Beaches--East York	Green Party of Canada	Le Parti Vert du Canada	DeBoer	Reuben Anthony			30-Aug-21	5:30:00
35007	Beaches--East York	Beaches--East York	Liberal Party of Canada	Parti libéral du Canada	Erskine-Smith	Nathaniel		(647) 948-3005	21-Aug-21	11:30:00
35007	Beaches--East York	Beaches--East York	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Fernandez	Philip		(613) 792-4475	30-Aug-21	6:30:00
35007	Beaches--East York	Beaches--East York	Communist Party of Canada	Parti communiste du Canada	Moxon	Jennifer		(416) 469-2446	26-Aug-21	4:00:00
35007	Beaches--East York	Beaches--East York	People's Party of Canada	Parti populaire du Canada	Rautescu	Radu			28-Aug-21	11:30:00
35007	Beaches--East York	Beaches--East York	Conservative Party of Canada	Parti conservateur du Canada	Robinson	Lisa			21-Aug-21	8:30:00
35007	Beaches--East York	Beaches--East York	New Democratic Party	Nouveau Parti démocratique	Ruiz Vargas	Alejandra			22-Aug-21	12:30:00
35007	Beaches--East York	Beaches--East York	Independent	Indépendant(e)	Wilde	Karen Lee			30-Aug-21	7:00:00
35008	Brampton Centre	Brampton-Centre	Liberal Party of Canada	Parti libéral du Canada	Ali	Shafqat		(905) 230-3377	27-Aug-21	10:00:00
35008	Brampton Centre	Brampton-Centre	New Democratic Party	Nouveau Parti démocratique	McDowell	Jim			27-Aug-21	11:00:00
35008	Brampton Centre	Brampton-Centre	Independent	Indépendant(e)	Shino	Ronni			30-Aug-21	5:00:00
35008	Brampton Centre	Brampton-Centre	Conservative Party of Canada	Parti conservateur du Canada	Singh	Jagdeep		(289) 401-2844	25-Aug-21	11:00:00
35009	Brampton East	Brampton-Est	Conservative Party of Canada	Parti conservateur du Canada	Bajaj	Naval		(905) 626-8534	24-Aug-21	12:00:00
35009	Brampton East	Brampton-Est	New Democratic Party	Nouveau Parti démocratique	Bannister-Clarke	Gail		(647) 675-5330	27-Aug-21	8:30:00
35009	Brampton East	Brampton-Est	Liberal Party of Canada	Parti libéral du Canada	Sidhu	Maninder		(905) 237-5416	24-Aug-21	12:00:00
35009	Brampton East	Brampton-Est	People's Party of Canada	Parti populaire du Canada	Singh	Manjeet			25-Aug-21	2:30:00
35010	Brampton North	Brampton-Nord	Conservative Party of Canada	Parti conservateur du Canada	Joshi	Medha		(905) 460-5959	23-Aug-21	12:00:00
35010	Brampton North	Brampton-Nord	Liberal Party of Canada	Parti libéral du Canada	Sahota	Ruby		(905) 237-5414	27-Aug-21	12:00:00
35010	Brampton North	Brampton-Nord	New Democratic Party	Nouveau Parti démocratique	Yeh	Teresa			28-Aug-21	12:00:00
35011	Brampton South	Brampton-Sud	Conservative Party of Canada	Parti conservateur du Canada	Brar	Ramandeep		(905) 715-5959	23-Aug-21	5:00:00
35011	Brampton South	Brampton-Sud	People's Party of Canada	Parti populaire du Canada	Craniotis	Nicholas			28-Aug-21	9:00:00
35011	Brampton South	Brampton-Sud	Liberal Party of Canada	Parti libéral du Canada	Sidhu	Sonia		(647) 927-6300	26-Aug-21	12:00:00
35011	Brampton South	Brampton-Sud	New Democratic Party	Nouveau Parti démocratique	Singh	Tejinder			28-Aug-21	11:30:00
35012	Brampton West	Brampton-Ouest	Conservative Party of Canada	Parti conservateur du Canada	Chambers	Jermaine		(647) 770-4690	21-Aug-21	9:30:00
35012	Brampton West	Brampton-Ouest	New Democratic Party	Nouveau Parti démocratique	Gill	Gurprit			30-Aug-21	4:00:00
35012	Brampton West	Brampton-Ouest	Liberal Party of Canada	Parti libéral du Canada	Khera	Kamal		(647) 667-9739	25-Aug-21	12:25:00
35012	Brampton West	Brampton-Ouest	Independent	Indépendant(e)	Ramasamy	Sivakumar		(905) 231-1236	27-Aug-21	3:30:00
35012	Brampton West	Brampton-Ouest	People's Party of Canada	Parti populaire du Canada	Zia	Rahul Samuel			28-Aug-21	3:15:00
35013	Brantford--Brant	Brantford--Brant	Independent	Indépendant(e)	Bory	Leslie		(905) 975-1209	21-Aug-21	5:30:00
35013	Brantford--Brant	Brantford--Brant	Conservative Party of Canada	Parti conservateur du Canada	Brock	Larry		(519) 770-4870	21-Aug-21	3:00:00
35013	Brantford--Brant	Brantford--Brant	Green Party of Canada	Le Parti Vert du Canada	Csordas	Karleigh		(519) 770-5205	29-Aug-21	7:30:00
35013	Brantford--Brant	Brantford--Brant	Liberal Party of Canada	Parti libéral du Canada	Macdonald	Alison		(226) 400-3290	26-Aug-21	8:00:00
35013	Brantford--Brant	Brantford--Brant	New Democratic Party	Nouveau Parti démocratique	Roberts	Adrienne		(519) 304-1304	21-Aug-21	7:30:00
35013	Brantford--Brant	Brantford--Brant	People's Party of Canada	Parti populaire du Canada	Squire	Cole		(519) 774-0355	24-Aug-21	11:30:00
35013	Brantford--Brant	Brantford--Brant	Independent	Indépendant(e)	Turmel	John The Engineer		(226) 966-4754	28-Aug-21	12:30:00
35014	Bruce--Grey--Owen Sound	Bruce--Grey--Owen Sound	People's Party of Canada	Parti populaire du Canada	Fosbrooke	Anna-Marie		(519) 377-7777	29-Aug-21	2:30:00
35014	Bruce--Grey--Owen Sound	Bruce--Grey--Owen Sound	Independent	Indépendant(e)	Kaikkonen	Reima		(519) 323-7076	24-Aug-21	1:30:00
35014	Bruce--Grey--Owen Sound	Bruce--Grey--Owen Sound	Green Party of Canada	Le Parti Vert du Canada	Lawrence	Ashley Michelle			30-Aug-21	4:30:00
35014	Bruce--Grey--Owen Sound	Bruce--Grey--Owen Sound	New Democratic Party	Nouveau Parti démocratique	Neudorf	Christopher			28-Aug-21	2:30:00
35014	Bruce--Grey--Owen Sound	Bruce--Grey--Owen Sound	Conservative Party of Canada	Parti conservateur du Canada	Ruff	Alex		(226) 256-8847	20-Aug-21	6:00:00
35014	Bruce--Grey--Owen Sound	Bruce--Grey--Owen Sound	Liberal Party of Canada	Parti libéral du Canada	Watson	Anne Marie		(226) 664-0150	27-Aug-21	7:30:00
35015	Burlington	Burlington	People's Party of Canada	Parti populaire du Canada	Bator	Michael			29-Aug-21	3:00:00
35015	Burlington	Burlington	Conservative Party of Canada	Parti conservateur du Canada	Brown	Emily		(289) 245-1107	22-Aug-21	12:00:00
35015	Burlington	Burlington	Parti Rhinocéros Party	Parti Rhinocéros Party	Carroll	Jevin David			30-Aug-21	7:30:00
35015	Burlington	Burlington	Green Party of Canada	Le Parti Vert du Canada	Cullis	Christian			24-Aug-21	5:00:00
35015	Burlington	Burlington	Liberal Party of Canada	Parti libéral du Canada	Gould	Karina		(905) 637-8909	25-Aug-21	5:30:00
35015	Burlington	Burlington	New Democratic Party	Nouveau Parti démocratique	Page	Nick			27-Aug-21	12:00:00
35016	Cambridge	Cambridge	Green Party of Canada	Le Parti Vert du Canada	Braniff	Michele			26-Aug-21	7:50:00
35016	Cambridge	Cambridge	New Democratic Party	Nouveau Parti démocratique	Bruce	Lorne			26-Aug-21	7:37:00
35016	Cambridge	Cambridge	Conservative Party of Canada	Parti conservateur du Canada	Cody	Connie		(226) 476-3671	23-Aug-21	2:00:00
35016	Cambridge	Cambridge	Liberal Party of Canada	Parti libéral du Canada	May	Bryan		(519) 240-7788	28-Aug-21	3:35:00
35016	Cambridge	Cambridge	People's Party of Canada	Parti populaire du Canada	Segounis	Maggie			30-Aug-21	4:50:00
35017	Chatham-Kent--Leamington	Chatham-Kent--Leamington	Conservative Party of Canada	Parti conservateur du Canada	Epp	Dave		(833) 328-3377	21-Aug-21	5:30:00
35017	Chatham-Kent--Leamington	Chatham-Kent--Leamington	New Democratic Party	Nouveau Parti démocratique	Gelinas	Dan			25-Aug-21	7:30:00
35017	Chatham-Kent--Leamington	Chatham-Kent--Leamington	Liberal Party of Canada	Parti libéral du Canada	Hetherington	Greg		(519) 401-0045	28-Aug-21	7:00:00
35017	Chatham-Kent--Leamington	Chatham-Kent--Leamington	People's Party of Canada	Parti populaire du Canada	Vallee	Liz			28-Aug-21	4:30:00
35017	Chatham-Kent--Leamington	Chatham-Kent--Leamington	Green Party of Canada	Le Parti Vert du Canada	Vercouteren	Mark			25-Aug-21	4:30:00
35018	Davenport	Davenport	New Democratic Party	Nouveau Parti démocratique	Bravo	Alejandra		(647) 478-6878	28-Aug-21	1:00:00
35018	Davenport	Davenport	Green Party of Canada	Le Parti Vert du Canada	Currie	Adrian			30-Aug-21	5:30:00
35018	Davenport	Davenport	People's Party of Canada	Parti populaire du Canada	Dos Remedios	Tara			25-Aug-21	7:00:00
35018	Davenport	Davenport	Liberal Party of Canada	Parti libéral du Canada	Dzerowicz	Julie		(647) 417-6922	24-Aug-21	10:00:00
35018	Davenport	Davenport	Independent	Indépendant(e)	Kalevar	Chai			30-Aug-21	3:30:00
35018	Davenport	Davenport	Conservative Party of Canada	Parti conservateur du Canada	Kalimbet	Jenny			26-Aug-21	10:00:00
35018	Davenport	Davenport	Independent	Indépendant(e)	Young	Troy		(416) 906-1377	26-Aug-21	1:00:00
35019	Don Valley East	Don Valley-Est	Liberal Party of Canada	Parti libéral du Canada	Coteau	Michael		(647) 417-7286	28-Aug-21	12:00:00
35019	Don Valley East	Don Valley-Est	People's Party of Canada	Parti populaire du Canada	De Marco	Peter		(647) 982-2749	31-Aug-21	12:00:00
35019	Don Valley East	Don Valley-Est	New Democratic Party	Nouveau Parti démocratique	Topp	Simon		(647) 374-0247	26-Aug-21	2:30:00
35019	Don Valley East	Don Valley-Est	Conservative Party of Canada	Parti conservateur du Canada	Williams	Penelope		(647) 366-9909	26-Aug-21	12:00:00
35020	Don Valley North	Don Valley-Nord	Liberal Party of Canada	Parti libéral du Canada	Dong	Han			24-Aug-21	12:00:00
35020	Don Valley North	Don Valley-Nord	New Democratic Party	Nouveau Parti démocratique	Griffin	Bruce			30-Aug-21	2:30:00
35020	Don Valley North	Don Valley-Nord	People's Party of Canada	Parti populaire du Canada	Sobel	Jay			28-Aug-21	9:30:00
35020	Don Valley North	Don Valley-Nord	Green Party of Canada	Le Parti Vert du Canada	Telfer	Natalie			30-Aug-21	7:00:00
35020	Don Valley North	Don Valley-Nord	Conservative Party of Canada	Parti conservateur du Canada	Zuniga	Sabrina			24-Aug-21	12:00:00
35021	Don Valley West	Don Valley-Ouest	Green Party of Canada	Le Parti Vert du Canada	Caputolan	Elvira			30-Aug-21	10:30:00
35021	Don Valley West	Don Valley-Ouest	Centrist Party of Canada	Parti Centriste du Canada	Khan	Adil			25-Aug-21	9:00:00
35021	Don Valley West	Don Valley-Ouest	People's Party of Canada	Parti populaire du Canada	Minas	Michael			29-Aug-21	8:00:00
35021	Don Valley West	Don Valley-Ouest	Liberal Party of Canada	Parti libéral du Canada	Oliphant	Rob		(647) 368-6366	24-Aug-21	9:30:00
35021	Don Valley West	Don Valley-Ouest	New Democratic Party	Nouveau Parti démocratique	Riaz	Syeda			30-Aug-21	3:00:00
35021	Don Valley West	Don Valley-Ouest	Conservative Party of Canada	Parti conservateur du Canada	Robertson	Yvonne		(647) 812-0524	24-Aug-21	11:30:00
35022	Dufferin--Caledon	Dufferin--Caledon	Green Party of Canada	Le Parti Vert du Canada	Le Forestier	Jenni Michelle			29-Aug-21	12:00:00
35022	Dufferin--Caledon	Dufferin--Caledon	Independent	Indépendant(e)	McKendrick	Stephen			31-Aug-21	12:00:00
35022	Dufferin--Caledon	Dufferin--Caledon	Liberal Party of Canada	Parti libéral du Canada	Post	Lisa		(289) 368-7678	28-Aug-21	12:00:00
35022	Dufferin--Caledon	Dufferin--Caledon	New Democratic Party	Nouveau Parti démocratique	Sanchez	Samantha			30-Aug-21	12:00:00
35022	Dufferin--Caledon	Dufferin--Caledon	Conservative Party of Canada	Parti conservateur du Canada	Seeback	Kyle		(833) 595-3467	20-Aug-21	12:00:00
35022	Dufferin--Caledon	Dufferin--Caledon	People's Party of Canada	Parti populaire du Canada	Zambito	Anthony			23-Aug-21	12:00:00
35023	Durham	Durham	Independent	Indépendant(e)	Baron	Sarah Gabrielle			27-Aug-21	9:30:00
35023	Durham	Durham	New Democratic Party	Nouveau Parti démocratique	Cameron	Chris		(289) 943-6779	28-Aug-21	11:00:00
35023	Durham	Durham	People's Party of Canada	Parti populaire du Canada	Conlin	Patricia			25-Aug-21	12:00:00
35023	Durham	Durham	Liberal Party of Canada	Parti libéral du Canada	Giancroce	Jonathan		(289) 278-6006	28-Aug-21	6:30:00
35023	Durham	Durham	Conservative Party of Canada	Parti conservateur du Canada	O'Toole	Erin		1 877 686-6535	23-Aug-21	6:30:00
35023	Durham	Durham	Independent	Indépendant(e)	Patch	Kurdil-Telt			29-Aug-21	9:30:00
35023	Durham	Durham	Parti Rhinocéros Party	Parti Rhinocéros Party	Smith	Adam			28-Aug-21	8:00:00
35024	Eglinton--Lawrence	Eglinton--Lawrence	Green Party of Canada	Le Parti Vert du Canada	Frydman	Eric			28-Aug-21	2:00:00
35024	Eglinton--Lawrence	Eglinton--Lawrence	People's Party of Canada	Parti populaire du Canada	Gleeson	Timothy			26-Aug-21	11:30:00
35024	Eglinton--Lawrence	Eglinton--Lawrence	Liberal Party of Canada	Parti libéral du Canada	Mendicino	Marco			26-Aug-21	3:00:00
35024	Eglinton--Lawrence	Eglinton--Lawrence	Conservative Party of Canada	Parti conservateur du Canada	Pollock	Geoff			26-Aug-21	9:00:00
35024	Eglinton--Lawrence	Eglinton--Lawrence	New Democratic Party	Nouveau Parti démocratique	SENNEKER	CALEB			28-Aug-21	3:00:00
35025	Elgin--Middlesex--London	Elgin--Middlesex--London	Liberal Party of Canada	Parti libéral du Canada	Ajibowu	Afeez		(226) 236-8577	27-Aug-21	9:30:00
35025	Elgin--Middlesex--London	Elgin--Middlesex--London	New Democratic Party	Nouveau Parti démocratique	Cody	Katelyn			27-Aug-21	3:00:00
35025	Elgin--Middlesex--London	Elgin--Middlesex--London	People's Party of Canada	Parti populaire du Canada	Hillier	Chelsea		(613) 266-6671	24-Aug-21	10:45:00
35025	Elgin--Middlesex--London	Elgin--Middlesex--London	Christian Heritage Party of Canada	Parti de l'Héritage Chrétien du Canada	Hopkins	Michael			30-Aug-21	2:00:00
35025	Elgin--Middlesex--London	Elgin--Middlesex--London	Green Party of Canada	Le Parti Vert du Canada	Stark	Amanda			24-Aug-21	9:30:00
35025	Elgin--Middlesex--London	Elgin--Middlesex--London	Conservative Party of Canada	Parti conservateur du Canada	Vecchio	Karen		(519) 633-3333	25-Aug-21	6:45:00
35026	Essex	Essex	People's Party of Canada	Parti populaire du Canada	Charron-Rowberry	Beth		(519) 566-0865	27-Aug-21	12:00:00
35026	Essex	Essex	Liberal Party of Canada	Parti libéral du Canada	Festeryga	Audrey		(519) 561-3405	25-Aug-21	12:00:00
35026	Essex	Essex	Independent	Indépendant(e)	George	Andrew			27-Aug-21	12:00:00
35026	Essex	Essex	Conservative Party of Canada	Parti conservateur du Canada	Lewis	Chris		(226) 946-1055	25-Aug-21	12:00:00
35026	Essex	Essex	Christian Heritage Party of Canada	Parti de l'Héritage Chrétien du Canada	Palko	Jeremy		(519) 919-4870	23-Aug-21	12:00:00
35026	Essex	Essex	Green Party of Canada	Le Parti Vert du Canada	Pancheshan	Nancy			27-Aug-21	12:00:00
35026	Essex	Essex	New Democratic Party	Nouveau Parti démocratique	Ramsey	Tracey		(226) 782-4420	22-Aug-21	12:00:00
35027	Etobicoke Centre	Etobicoke-Centre	Liberal Party of Canada	Parti libéral du Canada	Baker	Yvan		(647) 931-1810	28-Aug-21	5:30:00
35027	Etobicoke Centre	Etobicoke-Centre	People's Party of Canada	Parti populaire du Canada	Cormier	Maurice			31-Aug-21	12:00:00
35027	Etobicoke Centre	Etobicoke-Centre	New Democratic Party	Nouveau Parti démocratique	Da silva	Ashley			30-Aug-21	5:30:00
35027	Etobicoke Centre	Etobicoke-Centre	Conservative Party of Canada	Parti conservateur du Canada	Turner	Geoffrey			28-Aug-21	1:00:00
35028	Etobicoke--Lakeshore	Etobicoke--Lakeshore	Conservative Party of Canada	Parti conservateur du Canada	Bains	Indira			27-Aug-21	12:00:00
35028	Etobicoke--Lakeshore	Etobicoke--Lakeshore	Parti Rhinocéros Party	Parti Rhinocéros Party	Carson	Sean			27-Aug-21	12:00:00
35028	Etobicoke--Lakeshore	Etobicoke--Lakeshore	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Di Carlo	Anna		(613) 792-4475	27-Aug-21	12:00:00
35028	Etobicoke--Lakeshore	Etobicoke--Lakeshore	Green Party of Canada	Le Parti Vert du Canada	Elue	Afam			29-Aug-21	12:00:00
35028	Etobicoke--Lakeshore	Etobicoke--Lakeshore	New Democratic Party	Nouveau Parti démocratique	KANE	SASHA		(437) 326-5855	28-Aug-21	12:00:00
35028	Etobicoke--Lakeshore	Etobicoke--Lakeshore	Liberal Party of Canada	Parti libéral du Canada	Maloney	James		(416) 251-5920	27-Aug-21	12:00:00
35028	Etobicoke--Lakeshore	Etobicoke--Lakeshore	People's Party of Canada	Parti populaire du Canada	McLachlan	Bill			30-Aug-21	12:00:00
35029	Etobicoke North	Etobicoke-Nord	People's Party of Canada	Parti populaire du Canada	Boutsikakis	Jim			27-Aug-21	7:30:00
35029	Etobicoke North	Etobicoke-Nord	Liberal Party of Canada	Parti libéral du Canada	Duncan	Kirsty		(647) 577-2285	30-Aug-21	5:00:00
35029	Etobicoke North	Etobicoke-Nord	Conservative Party of Canada	Parti conservateur du Canada	Lamba	Priti		(416) 748-3582	24-Aug-21	12:00:00
35029	Etobicoke North	Etobicoke-Nord	New Democratic Party	Nouveau Parti démocratique	Peter	Cecil			30-Aug-21	5:30:00
35029	Etobicoke North	Etobicoke-Nord	Independent	Indépendant(e)	Royer	Carol			28-Aug-21	8:00:00
35030	Flamborough--Glanbrook	Flamborough--Glanbrook	Green Party of Canada	Le Parti Vert du Canada	Hatch	Thomas		(905) 516-9377	30-Aug-21	4:30:00
35030	Flamborough--Glanbrook	Flamborough--Glanbrook	Conservative Party of Canada	Parti conservateur du Canada	Muys	Dan		(365) 833-2500	26-Aug-21	7:30:00
35030	Flamborough--Glanbrook	Flamborough--Glanbrook	New Democratic Party	Nouveau Parti démocratique	Newick	Lorne			26-Aug-21	12:00:00
35030	Flamborough--Glanbrook	Flamborough--Glanbrook	People's Party of Canada	Parti populaire du Canada	Panchyshyn	Bill			27-Aug-21	6:00:00
35030	Flamborough--Glanbrook	Flamborough--Glanbrook	Liberal Party of Canada	Parti libéral du Canada	Sgro	Vito		(905) 521-3974	28-Aug-21	7:00:00
35031	Glengarry--Prescott--Russell	Glengarry--Prescott--Russell	People's Party of Canada	Parti populaire du Canada	Austring	Brennan			28-Aug-21	5:30:00
35031	Glengarry--Prescott--Russell	Glengarry--Prescott--Russell	Free Party Canada	Parti Libre Canada	Bisaillon	Marc			28-Aug-21	7:30:00
35031	Glengarry--Prescott--Russell	Glengarry--Prescott--Russell	Liberal Party of Canada	Parti libéral du Canada	Drouin	Francis			26-Aug-21	11:00:00
35031	Glengarry--Prescott--Russell	Glengarry--Prescott--Russell	Independent	Indépendant(e)	Joker	The			28-Aug-21	10:00:00
35031	Glengarry--Prescott--Russell	Glengarry--Prescott--Russell	Green Party of Canada	Le Parti Vert du Canada	Lapierre	Daniel			27-Aug-21	3:30:00
35031	Glengarry--Prescott--Russell	Glengarry--Prescott--Russell	New Democratic Party	Nouveau Parti démocratique	Malakos	Konstantine			27-Aug-21	9:00:00
35031	Glengarry--Prescott--Russell	Glengarry--Prescott--Russell	Conservative Party of Canada	Parti conservateur du Canada	McArthur	Susan			23-Aug-21	8:00:00
35032	Guelph	Guelph	Green Party of Canada	Le Parti Vert du Canada	Bowman	Michelle			30-Aug-21	2:00:00
35032	Guelph	Guelph	Communist Party of Canada	Parti communiste du Canada	Dineen	Tristan		(519) 822-0945	30-Aug-21	2:30:00
35032	Guelph	Guelph	New Democratic Party	Nouveau Parti démocratique	Jahangir	Aisha		(519) 760-2413	23-Aug-21	7:30:00
35032	Guelph	Guelph	People's Party of Canada	Parti populaire du Canada	Leier	Joshua			27-Aug-21	7:30:00
35032	Guelph	Guelph	Animal Protection Party of Canada	Le Parti pour la Protection des Animaux du Canada	Levenson	Karen		(416) 462-9541	27-Aug-21	4:00:00
35032	Guelph	Guelph	Liberal Party of Canada	Parti libéral du Canada	Longfield	Lloyd		(226) 314-3620	24-Aug-21	5:00:00
35032	Guelph	Guelph	Conservative Party of Canada	Parti conservateur du Canada	Sachan	Ashish		(226) 780-3727	25-Aug-21	5:00:00
